source,brand,name,former_price,current_price,discount,product_link,page
,Versace,VE3384F,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3384f-eyeglasses?color=3,6
,Versace,VE3384,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3384-eyeglasses?color=2,7
,Versace,VE3383F,376.0,263.2,30%,https://www.framesdirect.com/versace-ve3383f-eyeglasses?color=2,7
,Versace,VE3383,376.0,263.2,30%,https://www.framesdirect.com/versace-ve3383-eyeglasses?color=10061557,7
,Versace,VE3382F,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3382f-eyeglasses?color=10061555,7
,Versace,VE3382,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3382-eyeglasses?color=3,7
,Versace,VE3381U,300.0,210.0,30%,https://www.framesdirect.com/versace-ve3381u-eyeglasses?color=10061547,7
,Versace,VE3380F,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3380f-eyeglasses?color=3,7
,Versace,VE3380,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3380-eyeglasses?color=3,7
,Versace,VE3379D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve3379d-eyeglasses?color=1,7
,Versace,VE3375F,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3375f-eyeglasses?color=10061526,7
,Versace,VE1318,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1318-eyeglasses?color=10061756,7
,Versace,VE1317,450.0,315.0,30%,https://www.framesdirect.com/versace-ve1317-eyeglasses?color=2,7
,Versace,VE1315,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1315-eyeglasses?color=10061749,7
,Versace,VE1314D,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1314d-eyeglasses?color=10061748,7
,Versace,VE1313D,286.0,200.2,30%,https://www.framesdirect.com/versace-ve1313d-eyeglasses?color=10061742,7
,Versace,VE1312,286.0,200.2,30%,https://www.framesdirect.com/versace-ve1312-eyeglasses?color=10061739,7
,Versace,VE1311,286.0,200.2,30%,https://www.framesdirect.com/versace-ve1311-eyeglasses?color=10061738,7
,Versace,VE1310,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1310-eyeglasses?color=10061733,7
,Versace,VE1309,480.0,336.0,30%,https://www.framesdirect.com/versace-ve1309-eyeglasses?color=2,7
,Versace,VE1308,376.0,263.2,30%,https://www.framesdirect.com/versace-ve1308-eyeglasses?color=10061727,7
,Gucci,GG2148Oa,575.0,488.75,15%,https://www.framesdirect.com/gucci-gg2148oa-eyeglasses?color=10061717,7
,Gucci,GG2142Oj,460.0,391.0,15%,https://www.framesdirect.com/gucci-gg2142oj-eyeglasses?color=10061713,7
,Gucci,GG2141Ok,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg2141ok-eyeglasses?color=10061712,7
,Gucci,GG2135O,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg2135o-eyeglasses?color=10061709,7
,Gucci,GG2091O,545.0,463.25,15%,https://www.framesdirect.com/gucci-gg2091o-eyeglasses?color=10061704,8
,Gucci,GG2083O,415.0,352.75,15%,https://www.framesdirect.com/gucci-gg2083o-eyeglasses?color=10061703,8
,Gucci,GG2070O,490.0,416.5,15%,https://www.framesdirect.com/gucci-gg2070o-eyeglasses?color=10061700,8
,Gucci,GG2066O,490.0,416.5,15%,https://www.framesdirect.com/gucci-gg2066o-eyeglasses?color=10061699,8
,Gucci,GG2035Oa,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg2035oa-eyeglasses?color=10061696,8
,Gucci,GG2006OA,545.0,463.25,15%,https://www.framesdirect.com/gucci-gg2006oa-eyeglasses?color=10061693,8
,Gucci,GG2005OA,415.0,352.75,15%,https://www.framesdirect.com/gucci-gg2005oa-eyeglasses?color=10061691,8
,Gucci,GG2004OA,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg2004oa-eyeglasses?color=10061689,8
,Gucci,GG2003OJ,445.0,378.25,15%,https://www.framesdirect.com/gucci-gg2003oj-eyeglasses?color=10061687,8
,Gucci,GG2002OJ,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg2002oj-eyeglasses?color=10061685,8
,Gucci,GG2000OJ,830.0,705.5,15%,https://www.framesdirect.com/gucci-gg2000oj-eyeglasses?color=10061683,8
,Gucci,GG1997O,415.0,290.5,30%,https://www.framesdirect.com/gucci-gg1997o-eyeglasses?color=10061682,8
,Gucci,GG1996O,415.0,352.75,15%,https://www.framesdirect.com/gucci-gg1996o-eyeglasses?color=10061677,8
,Gucci,GG1994O,415.0,352.75,15%,https://www.framesdirect.com/gucci-gg1994o-eyeglasses?color=10061674,8
,Gucci,GG1993OK,545.0,463.25,15%,https://www.framesdirect.com/gucci-gg1993ok-eyeglasses?color=10061672,8
,Gucci,GG1989O,370.0,314.5,15%,https://www.framesdirect.com/gucci-gg1989o-eyeglasses?color=10061671,8
,Gucci,GG1988OK,330.0,280.5,15%,https://www.framesdirect.com/gucci-gg1988ok-eyeglasses?color=10061669,8
,Gucci,GG1972OA,665.0,565.25,15%,https://www.framesdirect.com/gucci-gg1972oa-eyeglasses?color=10061666,8
,Gucci,GG1964O,650.0,552.5,15%,https://www.framesdirect.com/gucci-gg1964o-eyeglasses?color=10061665,8
,Gucci,GG1961O,575.0,488.75,15%,https://www.framesdirect.com/gucci-gg1961o-eyeglasses?color=10061664,8
